location_id,location,latitude,longitude
6501,MALINAU,2.45,115.68333
8108,MALUKU BARAT DAYA,-7.8296,126.17386
8103,MALUKU TENGAH,-3.29167,128.9675
8102,MALUKU TENGGARA,-7.61186,131.38
8102,MALUKU TENGGARA,-5.75,132.73334
7603,MAMASA,-2.96492,119.30631
9428,MAMBERAMO RAYA,-2.23561,137.78229
9431,MAMBERAMO TENGAH,-2.46064,138.45245
7604,MAMUJU,-2.5,119.41667
7606,MAMUJU TENGAH,-2.8212,119.2662
0,MAMUJU UTARA,-1.51639,119.42139
1202,MANDAILING NATAL,0.78378,99.25495
5313,MANGGARAI,-8.56667,120.41667
5315,MANGGARAI BARAT,-8.64484,119.88281
5319,MANGGARAI TIMUR,-8.55533,120.59761
9105,MANOKWARI,-0.9,133.75
9111,MANOKWARI SELATAN,-1.0798,133.96729
9414,MAPPI,-6.49971,139.34441
7308,MAROS,-5.05,119.71667
9110,MAYBRAT,-1.2155,132.35092
6110,MELAWI,-0.33617,111.698
6104,MEMPAWAH,0.25,109.16667
1502,MERANGIN,-2.06933,102.13303
9401,MERAUKE,-7.66667,139.66667
1811,MESUJI,-4.0439,105.4013
9412,MIMIKA,-4.54357,136.56555
7102,MINAHASA,1.2537,124.83
7105,MINAHASA SELATAN,1.21291,124.59708
7109,MINAHASA TENGGARA,1.05633,124.7925
7106,MINAHASA UTARA,1.4025,124.96
3516,MOJOKERTO,-7.55,112.5
7203,MOROWALI,-1.89342,121.25473
7212,MOROWALI UTARA,-1.7207,121.24649
1603,MUARA ENIM,-4.2327,103.6141
1505,MUARO JAMBI,-1.55214,103.82163
1706,MUKO MUKO,-3.07438,101.54766
7402,MUNA,-4.96667,122.66667
7413,MUNA BARAT,-4.83333,122.48333
6213,MURUNG RAYA,-0.01667,114.26667
1606,MUSI BANYUASIN,-2.41667,103.75
1605,MUSI RAWAS,-3.08333,103.2
1613,MUSI RAWAS UTARA,-2.48533,103.29346
9404,NABIRE,-3.54016,135.55511
1115,NAGAN RAYA,4.16667,96.51667
5318,NAGEKEO,-8.8721,121.20963
2103,NATUNA,4.71417,107.97639
9429,NDUGA,-4.45093,138.10089
5312,NGADA,-8.66667,121
3518,NGANJUK,-7.6,111.93333
3521,NGAWI,-7.47444,111.33444
1201,NIAS,1.03333,97.76667
1225,NIAS BARAT,1.05966,97.58606
1214,NIAS SELATAN,0.77,97.75
1224,NIAS UTARA,1.33037,97.31964
6504,NUNUKAN,4.13333,116.7
1610,OGAN ILIR,-3.43186,104.62727
1602,OGAN KOMERING ILIR,-3.36667,105.36667
1601,OGAN KOMERING ULU,-4.13333,104.03333
1608,OGAN KOMERING ULU SELATAN,-4.65728,104.00659
1609,OGAN KOMERING ULU TIMUR,-3.85679,104.75209
3501,PACITAN,-8.13333,111.16667
1221,PADANG LAWAS,1.44684,99.99207
1220,PADANG LAWAS UTARA,1.46011,99.67346
1306,PADANG PARIAMAN,-0.6,100.28333
7503,PAHUWATO,0.7098,121.59582
1216,PAKPAK BHARAT,2.56667,98.28333
3528,PAMEKASAN,-7.06667,113.5
3601,PANDEGLANG,-6.63333,105.75
3218,PANGANDARAN,-7.6673,108.64037
7309,PANGKAJENE DAN KEPULAUAN,-4.7827,119.5506
9410,PANIAI,-3.9,136.60001
7208,PARIGI MOUTONG,0.3368,120.17841
1309,PASAMAN,0.42503,99.94606
1312,PASAMAN BARAT,0.28152,99.51965
6401,PASER,-1.43517,116.23535
3514,PASURUAN,-7.73333,112.83333
3318,PATI,-6.76667,111.1
9112,PEGUNUNGAN ARFAK,-0.93523,133.89587
9417,PEGUNUNGAN BINTANG,-4.52167,140.29541
3326,PEKALONGAN,-7.0319,109.624
1404,PELALAWAN,0.20822,102.18607
3327,PEMALANG,-7.03333,109.4
6409,PENAJAM PASER UTARA,-1.25,116.83333
1612,PENUKAL ABAB LEMATANG ILIR,-3.21342,104.08722
1809,PESAWARAN,-5.4298,105.17899
1813,PESISIR BARAT,-5.19323,103.93976
1302,PESISIR SELATAN,-1.58333,100.85
1109,PIDIE,5.08,96.11
1118,PIDIE JAYA,5.15,96.21667
7315,PINRANG,-3.61667,119.6
